# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/scratch/hodgskiss/Cu_Project/featurecounts/GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-o" "./featurecounts/cu_counts.txt" "/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam
gene750	CP007536.1	585236	585508	+	273	36	34	32	65	59	43	26	40	45	29
gene751	CP007536.1	585595	586047	-	453	165	219	147	300	262	137	101	120	93	79
gene752	CP007536.1	586303	587127	-	825	74	97	76	145	128	60	45	53	46	38
gene753	CP007536.1	587124	588128	-	1005	147	201	150	350	301	228	169	164	163	107
gene754	CP007536.1	588446	589324	+	879	94	112	109	223	162	117	79	98	93	95
gene755	CP007536.1	589557	590354	+	798	21	15	15	24	24	22	12	18	18	7
gene756	CP007536.1	590429	591202	-	774	191	233	179	386	272	224	203	220	232	175
gene757	CP007536.1	591356	592042	-	687	23	23	24	48	26	21	13	19	16	12
gene758	CP007536.1	592126	592317	-	192	17	21	18	36	10	11	7	12	4	2
gene759	CP007536.1	592579	592758	-	180	19	42	28	51	42	4	8	7	9	9
gene760	CP007536.1	592878	593036	-	159	0	0	0	0	0	1	1	0	1	0
gene761	CP007536.1	593102	593626	+	525	31	42	31	73	41	42	60	50	44	44
gene762	CP007536.1	593653	594459	-	807	141	172	136	299	190	276	226	280	247	177
gene763	CP007536.1	594705	595130	-	426	187	324	203	509	284	82	94	99	124	100
gene764	CP007536.1	595411	595920	-	510	229	357	293	603	350	258	232	369	312	272
gene765	CP007536.1	595984	596094	+	111	0	1	0	0	0	0	0	0	0	0
gene766	CP007536.1	596176	596568	+	393	26	47	36	59	57	42	44	45	33	25
gene767	CP007536.1	596573	596797	+	225	4	9	10	16	14	7	4	10	10	5
gene768	CP007536.1	596851	597195	+	345	34	46	38	60	62	86	86	102	89	69
gene769	CP007536.1	597317	598570	+	1254	109	127	107	225	143	113	98	101	126	91
gene770	CP007536.1	598641	600281	-	1641	107	140	112	262	181	108	88	102	81	64
gene771	CP007536.1	600380	600652	-	273	307	453	335	581	518	474	560	806	866	767
gene772	CP007536.1	600750	600941	-	192	9	4	8	14	7	9	13	15	20	10
gene773	CP007536.1	600898	601035	+	138	2	0	3	5	4	0	1	2	0	2
gene774	CP007536.1	601039	601188	+	150	8	4	7	20	22	1	3	5	1	3
gene775	CP007536.1	601400	602692	+	1293	35	52	41	64	61	66	46	74	56	34
gene776	CP007536.1	602770	602967	+	198	24	43	43	77	51	54	45	65	45	43
gene777	CP007536.1	603058	603134	+	77	1	3	4	4	7	12	4	7	9	1
gene778	CP007536.1	603232	603459	-	228	0	1	3	1	1	4	3	6	3	4
gene779	CP007536.1	603520	604611	+	1092	37	61	39	83	51	18	27	30	35	20
gene780	CP007536.1	604920	606740	+	1821	145	198	151	309	237	141	100	106	101	63
gene781	CP007536.1	606783	606866	+	84	5	4	3	5	6	4	1	3	6	6
gene782	CP007536.1	606873	607271	+	399	28	22	15	43	34	19	12	26	28	18
gene783	CP007536.1	607323	608150	-	828	135	158	125	249	214	244	162	224	189	173
gene784	CP007536.1	608151	608459	-	309	34	82	65	114	98	132	97	137	119	84
gene785	CP007536.1	608549	609106	+	558	111	126	76	222	169	235	171	256	214	163
gene786	CP007536.1	609098	609445	-	348	54	59	41	104	82	119	102	110	106	70
gene787	CP007536.1	609418	610794	-	1377	476	579	448	1027	843	1182	796	890	768	531
gene788	CP007536.1	610836	611426	-	591	186	219	154	364	269	240	169	197	180	160
gene789	CP007536.1	611431	612852	-	1422	1022	1544	1007	2396	2003	1882	1233	1449	1195	893
gene790	CP007536.1	612949	613608	+	660	1046	1491	1021	2197	1710	1725	1547	2287	2039	1645
gene791	CP007536.1	613622	615079	-	1458	265	341	277	528	379	455	368	535	425	351
gene792	CP007536.1	615169	615270	+	102	6	7	7	14	10	8	7	4	3	5
gene793	CP007536.1	615255	615794	-	540	41	48	22	70	43	30	25	26	32	28
gene794	CP007536.1	616008	616295	+	288	17	17	16	34	24	24	27	22	20	12
gene795	CP007536.1	616283	616504	+	222	20	13	18	43	25	16	5	10	22	14
gene796	CP007536.1	616576	617154	+	579	443	656	491	636	609	154	143	136	143	119
gene797	CP007536.1	617191	618894	-	1704	9309	12298	8544	18513	14973	9388	7872	9184	7575	6043
gene798	CP007536.1	619107	619862	+	756	368	572	382	759	579	512	487	588	489	378
gene799	CP007536.1	619899	620360	+	462	888	1223	869	1719	1353	1316	1031	1023	974	792
gene800	CP007536.1	620549	621004	+	456	168	229	195	375	260	324	267	354	339	251
gene801	CP007536.1	620902	622068	+	1167	245	329	248	559	363	385	390	534	515	396
gene802	CP007536.1	622021	622383	-	363	41	50	36	87	71	78	68	99	92	63
gene803	CP007536.1	622414	623634	-	1221	528	602	480	1110	859	1085	723	805	688	493
gene804	CP007536.1	623717	624739	+	1023	244	335	221	603	446	882	731	913	741	595
gene805	CP007536.1	624920	625912	+	993	152	191	161	355	254	438	282	333	293	213
gene806	CP007536.1	625909	626427	-	519	158	195	140	340	266	359	262	312	266	241
gene807	CP007536.1	626437	626706	-	270	41	53	37	110	58	100	67	99	109	63
gene808	CP007536.1	626712	627689	-	978	212	210	147	416	307	407	330	404	366	266
gene809	CP007536.1	627668	628585	-	918	279	370	324	730	489	979	728	918	801	574
gene810	CP007536.1	628629	629315	-	687	99	105	75	224	171	298	233	245	278	200
gene811	CP007536.1	629312	629644	-	333	547	751	507	1072	747	837	1034	1410	1372	1079
gene812	CP007536.1	629734	630261	-	528	57	70	49	114	96	91	93	109	117	94
gene813	CP007536.1	630366	630866	-	501	261	294	197	458	316	287	296	407	369	310
gene814	CP007536.1	631044	631604	+	561	74	90	74	154	126	137	106	141	117	93
gene815	CP007536.1	631645	632133	+	489	58	86	61	122	82	219	196	192	195	142
gene816	CP007536.1	632170	633150	+	981	423	526	365	857	725	681	534	680	586	439
gene817	CP007536.1	633163	633645	+	483	82	87	46	180	146	107	90	98	118	101
gene818	CP007536.1	633688	633939	+	252	88	141	95	187	147	149	146	210	172	214
gene819	CP007536.1	633988	634902	+	915	58	66	57	129	94	114	74	160	139	98
gene820	CP007536.1	634896	635723	-	828	88	140	99	221	148	179	160	176	161	119
gene821	CP007536.1	635772	636230	+	459	167	188	129	368	274	345	258	314	285	242
gene822	CP007536.1	636235	638055	-	1821	198	247	185	463	309	392	264	335	341	227
gene823	CP007536.1	638174	638515	+	342	142	151	127	305	227	292	202	307	261	232
gene824	CP007536.1	638583	639281	+	699	186	248	171	355	315	299	174	176	163	137
gene825	CP007536.1	639317	640213	+	897	448	599	421	1138	797	762	665	892	735	555
gene826	CP007536.1	640210	640416	-	207	73	64	61	148	112	138	104	128	112	78
gene827	CP007536.1	640418	641599	-	1182	310	374	289	780	536	621	457	546	473	338
gene828	CP007536.1	641614	641868	-	255	36	44	30	94	73	68	68	107	78	59
gene829	CP007536.1	641895	642164	-	270	132	144	95	284	182	372	299	356	313	254
gene830	CP007536.1	642212	643156	-	945	1862	2664	1904	4458	2896	4016	3268	3997	3513	2858
gene831	CP007536.1	643311	643706	+	396	449	598	406	1014	803	454	415	516	507	331
gene832	CP007536.1	643713	644441	-	729	219	227	194	395	311	271	190	224	222	191
gene833	CP007536.1	644528	645220	+	693	164	235	156	301	240	135	79	89	62	58
gene834	CP007536.1	645166	645921	+	756	100	142	79	196	177	94	38	51	43	19
gene835	CP007536.1	645926	646390	+	465	41	39	29	90	50	25	12	20	17	12
gene836	CP007536.1	646479	646829	-	351	4	13	11	25	23	11	8	9	8	9
gene837	CP007536.1	647174	647713	-	540	49	71	58	81	65	27	31	37	33	31
gene838	CP007536.1	647835	647911	-	77	1	0	1	0	1	2	0	4	3	2
gene839	CP007536.1	647897	647965	-	69	0	0	0	0	0	1	0	0	0	0
gene840	CP007536.1	647982	648431	+	450	102	129	108	242	181	203	184	218	186	151
gene841	CP007536.1	648498	650081	+	1584	2049	2549	1814	4293	3295	3371	2646	3041	2796	1966
gene842	CP007536.1	650088	650414	-	327	177	196	147	303	277	385	312	413	361	271
gene843	CP007536.1	650478	651320	-	843	981	1372	1097	2019	1527	1988	1764	2271	2024	1456
gene844	CP007536.1	651440	651712	+	273	145	230	170	327	318	248	257	294	243	186
gene845	CP007536.1	651719	652216	-	498	130	121	107	211	166	138	129	170	139	91
gene846	CP007536.1	652359	652517	+	159	0	0	0	0	0	1	1	1	2	1
gene847	CP007536.1	652427	652960	+	534	183	241	180	365	246	191	130	185	173	126
gene848	CP007536.1	653073	655277	+	2205	1356	1800	1327	2932	2262	989	805	955	889	644
gene849	CP007536.1	655314	656126	-	813	65	41	41	116	78	65	54	67	56	43
gene850	CP007536.1	656075	656203	-	129	12	4	1	15	9	23	18	23	26	17
gene851	CP007536.1	656285	657154	-	870	365	339	241	711	513	1001	686	920	728	534
gene852	CP007536.1	657162	658988	-	1827	437	445	364	971	798	1296	923	1001	854	653
gene853	CP007536.1	658903	659910	-	1008	825	1099	786	1923	1539	2427	1709	1915	1548	1044
gene854	CP007536.1	659907	660995	-	1089	431	517	350	881	708	932	571	666	564	493
gene855	CP007536.1	661002	661784	-	783	147	161	139	354	252	440	307	299	212	187
gene856	CP007536.1	661836	662171	-	336	61	93	66	157	101	97	66	98	104	63
gene857	CP007536.1	662520	663644	+	1125	2238	3058	2311	4832	3520	2852	2321	2730	2547	1919
gene858	CP007536.1	663676	664698	+	1023	514	600	451	962	794	953	812	988	858	687
gene859	CP007536.1	665942	666241	+	300	4	4	5	22	12	19	8	12	15	13
gene860	CP007536.1	666542	667363	+	822	1052	1401	1043	2137	1675	2173	1960	2450	2247	2025
gene861	CP007536.1	667575	667658	+	84	2	4	2	6	7	0	4	2	5	2
gene862	CP007536.1	667698	668423	+	726	51	50	46	81	72	37	30	46	42	32
gene863	CP007536.1	668617	669375	+	759	13	19	23	35	20	28	12	24	26	28
gene864	CP007536.1	669506	670462	+	957	1288	1638	1239	2824	2329	2240	1503	1855	1619	1246
gene865	CP007536.1	670472	671476	-	1005	1914	2505	1737	4061	2897	2009	1682	2218	1966	1576
gene866	CP007536.1	671481	671735	-	255	366	596	416	943	679	395	412	604	560	367
gene867	CP007536.1	671965	672813	+	849	52	68	72	96	76	47	39	46	54	38
gene868	CP007536.1	672843	673616	-	774	104	137	135	243	192	251	276	299	276	216
gene869	CP007536.1	673651	674325	-	675	550	777	563	1415	1066	3372	2168	2165	1740	1289
gene870	CP007536.1	674391	675803	-	1413	497	701	501	1121	770	829	682	970	851	645
gene871	CP007536.1	675787	677469	-	1683	1357	1553	1212	2829	2164	1598	1370	2120	2030	1449
gene872	CP007536.1	677498	677620	-	123	76	142	123	288	213	51	88	145	148	91
gene873	CP007536.1	677833	678468	+	636	1209	1789	1216	2822	2069	2423	2173	2758	2522	1654
gene874	CP007536.1	678481	679008	+	528	1331	1604	1222	2561	1938	3046	2348	2552	2284	1886
gene875	CP007536.1	679005	679970	-	966	234	228	212	461	354	373	311	425	377	295
gene876	CP007536.1	680131	681897	+	1767	857	1212	808	1746	1303	1082	1179	2146	2006	1704
gene877	CP007536.1	681966	682616	-	651	2033	2607	2148	4296	3467	3712	3177	4481	4692	4786
gene878	CP007536.1	682767	683222	+	456	568	753	509	1194	980	1164	876	840	752	528
gene879	CP007536.1	683219	684316	-	1098	407	501	371	1014	754	699	482	581	484	356
gene880	CP007536.1	684369	684728	+	360	96	93	80	179	212	263	233	256	250	144
gene881	CP007536.1	684788	685543	+	756	169	235	166	402	295	568	390	460	364	290
gene882	CP007536.1	685509	686507	+	999	252	304	209	474	404	533	400	487	423	335
gene883	CP007536.1	686508	687368	-	861	470	677	510	996	807	790	681	1063	845	757
gene884	CP007536.1	687481	688344	+	864	170	281	195	438	344	364	295	289	246	168
gene885	CP007536.1	688341	688631	-	291	28	57	42	74	45	70	65	74	73	47
gene886	CP007536.1	688665	688883	+	219	14	13	17	30	24	26	19	25	30	23
gene887	CP007536.1	688923	691376	+	2454	669	829	656	1454	1114	1701	1117	1308	1060	802
gene888	CP007536.1	691377	691550	-	174	18	31	27	46	46	42	49	43	42	46
gene889	CP007536.1	691643	692338	+	696	120	171	98	270	222	202	163	212	183	129
gene890	CP007536.1	692513	692932	-	420	23	37	19	51	30	29	26	34	35	17
gene891	CP007536.1	692966	693160	-	195	8	15	11	17	13	10	11	17	9	11
gene892	CP007536.1	693384	693692	-	309	74	88	56	143	113	272	191	202	193	177
gene893	CP007536.1	693743	695542	-	1800	364	485	301	824	641	1013	682	659	595	414
gene894	CP007536.1	695636	695953	+	318	408	665	481	1020	750	908	838	1104	1024	705
gene895	CP007536.1	695946	696359	-	414	218	229	169	373	310	413	350	473	419	307
gene896	CP007536.1	696317	696430	+	114	2	2	0	1	2	2	2	2	3	0
gene897	CP007536.1	696453	696866	+	414	888	1131	815	1732	1365	4009	2688	2535	2171	1795
gene898	CP007536.1	696949	698352	-	1404	176	236	154	399	255	244	201	223	236	164
gene899	CP007536.1	698404	698508	+	105	1	2	3	5	7	5	3	3	6	3
gene900	CP007536.1	698505	699335	-	831	363	447	364	730	537	557	429	548	536	442
gene901	CP007536.1	699386	699613	-	228	226	351	273	607	442	474	431	632	579	349
gene902	CP007536.1	699667	700110	-	444	668	1147	828	1505	1259	1308	1108	1113	975	720
gene903	CP007536.1	700410	702134	+	1725	89	113	84	205	152	110	98	127	99	79
gene904	CP007536.1	702274	703320	+	1047	172	253	208	432	367	451	376	440	415	285
gene905	CP007536.1	703354	704199	+	846	447	691	507	938	795	831	627	805	703	557
gene906	CP007536.1	704196	704633	-	438	13	13	8	23	11	46	32	31	35	11
gene907	CP007536.1	704808	706496	+	1689	1198	1463	1091	2600	2110	3450	2290	2658	2332	1459
gene908	CP007536.1	706500	706997	+	498	259	291	217	607	471	546	392	523	453	296
gene909	CP007536.1	706994	708502	+	1509	1296	1561	1165	2838	2241	2313	1520	1851	1608	1080
gene910	CP007536.1	708539	709564	+	1026	369	362	321	720	581	854	623	749	628	437
gene911	CP007536.1	709574	709948	-	375	160	174	146	314	291	211	180	211	211	142
gene912	CP007536.1	710121	710930	+	810	62	47	55	118	75	93	57	111	76	66
gene913	CP007536.1	711020	711103	+	84	10	6	6	10	11	13	16	13	19	10
gene914	CP007536.1	711159	712385	+	1227	1314	1643	1291	3279	2560	5187	2816	2206	1827	1252
gene915	CP007536.1	712594	715662	+	3069	1090	964	694	2390	2206	3808	2027	2018	1682	1316
gene916	CP007536.1	716001	717038	+	1038	42	32	29	112	69	81	58	73	55	33
gene917	CP007536.1	717055	717819	-	765	111	156	114	246	193	220	196	188	164	115
gene918	CP007536.1	717872	718180	+	309	4	19	6	15	15	20	17	29	15	15
gene919	CP007536.1	718095	719516	+	1422	254	370	278	666	470	780	527	591	521	393
gene920	CP007536.1	719513	719983	-	471	94	98	96	196	149	258	257	303	277	211
gene921	CP007536.1	720073	720936	-	864	293	432	293	666	521	800	630	832	731	535
gene922	CP007536.1	721041	721502	+	462	236	300	227	394	357	248	220	255	248	200
gene923	CP007536.1	721505	722338	-	834	298	336	273	621	486	332	236	290	247	244
gene924	CP007536.1	722388	723602	-	1215	384	463	332	797	574	832	636	771	711	600
gene925	CP007536.1	723641	724231	-	591	695	862	632	1323	1060	1151	884	1066	921	687
gene926	CP007536.1	724269	724439	-	171	670	696	602	1160	854	1133	874	1105	953	766
gene927	CP007536.1	724461	724691	-	231	282	410	333	755	531	756	641	843	719	546
gene928	CP007536.1	724746	725456	-	711	86	123	98	184	141	294	239	291	268	180
gene929	CP007536.1	725489	726415	-	927	260	294	255	563	387	616	429	526	448	343
gene930	CP007536.1	726541	727377	+	837	41	37	31	70	61	47	52	65	59	32
gene931	CP007536.1	727522	727668	+	147	3	1	2	6	2	3	5	2	3	2
gene932	CP007536.1	727934	728227	-	294	152	92	92	274	240	179	131	158	179	137
gene933	CP007536.1	728169	728489	+	321	27	21	20	57	43	46	30	55	34	32
gene934	CP007536.1	728635	729099	-	465	49	63	37	126	100	82	77	68	66	53
gene935	CP007536.1	729188	729502	-	315	34	41	38	53	65	42	36	36	34	28
gene936	CP007536.1	729702	730142	+	441	6	6	6	12	7	11	6	1	2	2
gene937	CP007536.1	730193	730579	+	387	8	15	7	22	13	4	9	9	8	4
gene938	CP007536.1	730635	731021	+	387	5	6	7	15	9	7	3	5	2	11
gene939	CP007536.1	731049	731255	+	207	5	13	8	15	8	10	9	6	9	4
gene940	CP007536.1	731308	731622	+	315	1	7	5	10	8	4	2	6	4	2
gene941	CP007536.1	731628	732053	+	426	7	14	4	6	7	5	5	8	8	2
gene942	CP007536.1	732135	733367	+	1233	170	223	136	314	246	106	56	71	78	59
gene943	CP007536.1	733440	734447	+	1008	60	95	64	175	126	44	32	48	42	30
gene944	CP007536.1	734444	735265	+	822	47	66	48	91	69	23	20	22	28	20
gene945	CP007536.1	735322	736428	-	1107	109	160	128	242	211	258	194	210	199	133
gene946	CP007536.1	736586	737257	+	672	10	19	20	45	33	29	23	34	29	19
gene947	CP007536.1	737294	738949	-	1656	46	52	36	98	74	50	36	44	36	40
gene948	CP007536.1	739361	740308	+	948	56	69	54	110	69	34	34	43	33	34
gene949	CP007536.1	740305	740913	+	609	23	27	24	52	48	38	34	32	25	29
gene950	CP007536.1	740950	741282	+	333	36	23	18	60	44	34	42	55	42	30
gene951	CP007536.1	741286	741438	-	153	0	1	1	0	3	3	1	0	1	0
gene952	CP007536.1	741578	741925	+	348	8	17	12	16	15	13	15	10	8	10
gene953	CP007536.1	742136	742300	+	165	6	1	7	7	6	5	6	6	6	9
gene954	CP007536.1	742392	742979	+	588	133	148	106	247	195	114	70	103	92	48
gene955	CP007536.1	743229	744218	+	990	47	42	35	91	56	50	55	76	62	56
gene956	CP007536.1	744247	744423	-	177	1	2	1	7	4	3	3	1	2	5
gene957	CP007536.1	744404	744571	-	168	4	0	0	4	1	7	3	5	6	2
gene958	CP007536.1	745201	745434	-	234	1	2	3	3	3	5	3	10	7	4
gene959	CP007536.1	745659	745787	+	129	10	6	3	17	12	11	7	6	9	5
gene960	CP007536.1	745806	746006	-	201	3	4	4	3	4	3	3	7	6	1
gene961	CP007536.1	746474	747076	+	603	100	122	107	183	132	114	97	145	131	93
gene962	CP007536.1	747079	749397	+	2319	541	685	542	1083	799	431	415	567	519	488
gene963	CP007536.1	749737	749961	+	225	136	361	265	326	361	331	429	284	305	199
gene964	CP007536.1	749973	753335	+	3363	734	957	732	1435	1072	809	690	951	935	764
gene965	CP007536.1	753332	753793	+	462	90	119	87	172	120	149	124	146	151	110
gene966	CP007536.1	753895	754440	+	546	45	49	43	90	74	84	65	85	81	64
gene967	CP007536.1	754404	755471	+	1068	73	88	63	138	134	136	119	143	118	97
gene968	CP007536.1	755477	756748	+	1272	102	128	93	208	163	155	123	153	142	129
gene969	CP007536.1	756904	760950	-	4047	325	337	288	676	544	502	396	447	441	347
gene970	CP007536.1	761062	764400	+	3339	363	445	348	690	565	463	377	395	428	350
gene971	CP007536.1	764538	768689	+	4152	397	381	334	772	643	510	444	542	546	438
gene972	CP007536.1	768886	771900	+	3015	482	600	477	1129	858	887	671	806	797	666
gene973	CP007536.1	771957	773324	+	1368	157	201	161	308	246	232	182	211	208	208
gene974	CP007536.1	773655	774632	-	978	48	52	56	88	83	65	45	57	59	39
gene975	CP007536.1	774638	775744	-	1107	104	106	79	182	138	175	158	146	122	109
gene976	CP007536.1	776139	776681	+	543	142	180	146	264	165	203	129	137	146	124
gene977	CP007536.1	777023	778225	+	1203	73	106	82	144	100	101	132	136	128	116
gene978	CP007536.1	778242	778532	+	291	4	6	8	19	5	9	12	8	15	13
gene979	CP007536.1	778755	779171	+	417	2	2	2	5	5	6	5	8	4	1
gene980	CP007536.1	779247	779510	+	264	26	49	32	45	41	36	43	33	30	37
gene981	CP007536.1	779857	780732	+	876	60	64	47	102	80	66	68	62	46	56
gene982	CP007536.1	780716	781825	+	1110	36	52	34	68	61	41	33	51	39	32
gene983	CP007536.1	781919	782371	+	453	803	788	648	1318	944	720	658	732	682	716
gene984	CP007536.1	782454	782984	+	531	23	34	18	37	35	24	22	22	21	19
gene985	CP007536.1	782988	788102	+	5115	259	284	227	486	400	198	180	227	245	160
gene986	CP007536.1	788189	789226	-	1038	131	154	152	253	191	114	76	118	105	95
gene987	CP007536.1	789365	790039	-	675	53	89	58	114	126	94	103	117	106	83
gene988	CP007536.1	790127	792391	-	2265	103	110	92	187	172	83	66	90	96	68
gene989	CP007536.1	792477	794066	+	1590	45	54	57	78	74	100	86	98	80	85
gene990	CP007536.1	794171	794278	-	108	3	0	2	11	3	4	4	4	4	8
gene991	CP007536.1	794342	794650	+	309	4	5	6	5	10	7	6	6	8	6
gene992	CP007536.1	794730	796880	+	2151	29	41	43	59	41	44	31	42	30	39
gene993	CP007536.1	797014	798837	+	1824	33	24	15	45	34	28	29	34	32	22
gene994	CP007536.1	798856	799596	-	741	108	123	106	251	157	129	109	126	109	89
gene995	CP007536.1	799620	800033	-	414	51	61	40	110	63	50	70	68	66	57
gene996	CP007536.1	800023	800301	-	279	32	31	22	75	48	37	40	53	49	34
gene997	CP007536.1	800419	800676	+	258	0	3	0	5	3	2	1	3	4	4
gene998	CP007536.1	800900	801601	+	702	11	5	4	17	14	11	10	11	14	9
gene999	CP007536.1	801598	803481	+	1884	34	26	25	45	42	38	26	56	26	29
gene1000	CP007536.1	803668	804063	+	396	38	51	35	49	46	64	46	40	64	40
gene1001	CP007536.1	804122	804598	+	477	12	7	6	29	16	16	20	12	17	17
gene1002	CP007536.1	804648	805652	+	1005	9	15	11	19	18	15	27	25	11	17
gene1003	CP007536.1	805659	808361	+	2703	32	44	50	95	76	100	70	61	70	43
gene1004	CP007536.1	808416	808550	-	135	2	4	5	7	5	7	5	11	14	4
gene1005	CP007536.1	809124	809417	+	294	20	18	17	31	28	21	26	23	18	15
gene1006	CP007536.1	809504	809851	+	348	27	45	26	58	55	73	82	90	78	65
gene1007	CP007536.1	809987	810334	+	348	30	40	27	69	49	64	65	76	71	50
gene1008	CP007536.1	810490	811008	+	519	12	6	9	16	20	27	11	9	8	13
gene1009	CP007536.1	811014	811253	+	240	4	7	6	8	8	6	5	13	8	4
gene1010	CP007536.1	811294	811536	+	243	0	0	1	4	1	3	0	1	2	1
gene1011	CP007536.1	811421	813709	+	2289	43	47	44	77	60	44	37	34	31	44
gene1012	CP007536.1	813706	814404	+	699	12	16	12	26	21	21	7	13	15	13
gene1013	CP007536.1	814450	814812	+	363	12	17	15	28	21	22	20	21	21	22
gene1014	CP007536.1	814787	815017	+	231	9	17	4	18	15	11	11	10	11	9
gene1015	CP007536.1	815377	815619	+	243	49	73	38	115	92	136	164	210	227	136
gene1016	CP007536.1	815638	815847	-	210	15	26	15	33	26	45	36	59	50	33
gene1017	CP007536.1	815939	816334	-	396	4	0	1	9	2	7	3	4	5	4
gene1018	CP007536.1	816802	817545	+	744	8	15	14	21	26	22	27	22	22	16
gene1019	CP007536.1	817605	817838	-	234	2	4	4	7	4	3	5	3	5	1
gene1020	CP007536.1	818075	818182	+	108	3	1	2	1	1	1	0	3	2	3
gene1021	CP007536.1	818268	818744	+	477	19	13	22	35	31	17	14	23	19	20
gene1022	CP007536.1	818999	819133	+	135	4	1	3	5	0	2	3	5	6	3
gene1023	CP007536.1	819117	820385	-	1269	101	118	81	148	145	185	157	151	148	109
gene1024	CP007536.1	820673	820746	+	74	4	4	4	8	6	8	1	9	4	3
gene1025	CP007536.1	820848	821054	-	207	6	10	5	13	7	12	10	14	10	10
gene1026	CP007536.1	821114	821326	+	213	2	3	2	3	8	3	4	3	5	2
gene1027	CP007536.1	821342	821503	+	162	39	116	55	51	98	55	114	90	76	28
gene1028	CP007536.1	821739	822020	+	282	10	9	9	22	16	6	5	6	11	2
gene1029	CP007536.1	822228	822506	+	279	7	7	15	15	14	14	14	21	21	24
gene1030	CP007536.1	822643	822918	+	276	0	5	3	6	3	2	1	6	2	1
gene1031	CP007536.1	822926	823096	+	171	0	1	1	1	0	2	1	0	0	0
gene1032	CP007536.1	823139	823699	+	561	62	47	38	97	95	162	109	123	80	69
gene1033	CP007536.1	823828	824574	+	747	626	800	587	1111	1051	1054	787	919	865	619
gene1034	CP007536.1	824579	824866	-	288	436	640	529	878	815	770	729	1191	1084	799
gene1035	CP007536.1	824900	825046	-	147	48	54	46	116	78	60	78	78	97	48
gene1036	CP007536.1	825138	825289	+	152	61	97	82	81	148	116	235	240	204	103
gene1037	CP007536.1	825339	825830	+	492	179	266	193	437	326	356	253	343	296	179
gene1038	CP007536.1	825952	826626	-	675	99	130	116	209	162	88	156	139	96	67
gene1039	CP007536.1	826728	828479	+	1752	115	190	140	224	200	180	200	147	131	67
gene1040	CP007536.1	828674	830959	+	2286	424	625	518	1202	719	567	685	580	444	227
gene1041	CP007536.1	831000	831170	-	171	44	62	59	107	87	78	94	116	81	64
gene1042	CP007536.1	831242	831553	-	312	54	81	61	112	100	84	86	104	89	60
gene1043	CP007536.1	831610	832692	+	1083	88	104	80	148	121	73	62	61	48	41
gene1044	CP007536.1	832894	833394	+	501	48	62	48	124	83	101	113	77	92	52
gene1045	CP007536.1	833419	833799	+	381	26	46	44	70	54	48	54	36	44	20
gene1046	CP007536.1	833811	834917	+	1107	73	84	81	169	120	102	129	116	72	42
gene1047	CP007536.1	834914	836542	+	1629	104	154	130	296	200	198	234	197	154	85
gene1048	CP007536.1	836560	837174	+	615	45	63	58	111	78	57	76	83	62	41
gene1049	CP007536.1	837189	837710	+	522	18	30	21	50	43	43	43	47	32	22
gene1050	CP007536.1	837707	838534	+	828	14	12	10	33	27	21	14	25	25	19
gene1051	CP007536.1	838540	840231	-	1692	35	58	40	88	59	31	48	42	44	16
gene1052	CP007536.1	840333	841340	-	1008	136	199	168	299	217	108	159	168	144	95
gene1053	CP007536.1	841475	842131	+	657	137	201	174	378	299	248	197	307	322	268
